index;Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes  CCS e SCR;Quantidade de clientes  CCS;Quantidade de clientes  SCR;Unnamed: 14
11;2021;1º;Grupo Secundário;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.; ;0;1;0;1;469;452;32;
12;2021;1º;Grupo Secundário;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;0;1;36713;3;36711;
13;2021;1º;Grupo Secundário;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;484,31;143;36;54;233;295260;168966;177621;
14;2021;1º;Grupo Secundário;Banco/financeira;27098060;BANCO DIGIO S.A.;25,71;40;100;64;204;1555646;594244;1515429;
15;2021;1º;Grupo Secundário;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;11;25;9;45;1066464;834281;599884;
16;2021;1º;Grupo Secundário;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;46,20;39;10;12;61;844056;758236;347013;
17;2021;1º;Grupo Secundário;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;19;8;20;47;8512373;7928582;3161435;
18;2021;1º;Grupo Secundário;Banco/financeira;58616418;BANCO FIBRA S.A.; ;1;2;2;5;163619;3832;160325;
19;2021;1º;Grupo Secundário;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;2;0;2;6907;185;6739;
20;2021;1º;Grupo Secundário;Banco/financeira;04866275;BANCO INBURSA S.A.; ;1;5;1;7;12367;12;12357;
21;2021;1º;Grupo Secundário;Banco/financeira;91884981;BANCO JOHN DEERE S.A.; ;0;1;0;1;15036;254;14848;
22;2021;1º;Grupo Secundário;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;1;0;1;10071;4711;5719;
23;2021;1º;Grupo Secundário;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;0;1;0;1;42561;40252;2342;
24;2021;1º;Grupo Secundário;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;0;0;1;1;26002;7898;18366;
25;2021;1º;Grupo Secundário;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;4;0;1;5;290731;2996;287950;
26;2021;1º;Grupo Secundário;Banco/financeira;11970623;BANCO SENFF S.A.; ;8;12;2;22;77251;106;77156;
27;2021;1º;Grupo Secundário;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;1;4;1;6;35261;16292;21125;
28;2021;1º;Grupo Secundário;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;0;0;1;1;164435;15283;150113;
29;2021;1º;Grupo Secundário;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;3;8;16;27;1953437;248674;1790932;
30;2021;1º;Grupo Secundário;Banco/financeira;57839805;BANCO TRICURY S.A.; ;0;1;1;2;685;666;149;
31;2021;1º;Grupo Secundário;Conglomerado; ;BANCOOB (conglomerado); ;19;31;18;68;4576738;2242360;2872105;
32;2021;1º;Grupo Secundário;Conglomerado; ;BANESTES (conglomerado); ;21;22;5;48;1232727;1181686;473114;
33;2021;1º;Grupo Secundário;Conglomerado; ;BANRISUL (conglomerado);24,99;127;349;60;536;5080031;3756328;3950764;
34;2021;1º;Grupo Secundário;Conglomerado; ;BARIGUI (conglomerado); ;7;15;26;48;42559;15683;29761;
35;2021;1º;Top 10;Conglomerado; ;BB (conglomerado);21,25;1463;2782;2225;6470;68844801;65031349;30167056;
