ano,trimestre,categoria,tipo,cnpj_if,instituicao_financeira,indice,quantidade_de_reclamacoes_reguladas_procedentes,quantidade_de_reclamacoes_reguladas_outras,quantidade_de_reclamacoes_nao_reguladas,quantidade_total_de_reclamacoes,quantidade_total_de_clientes_ccs_e_scr,quantidade_de_clientes_ccs,quantidade_de_clientes_scr
2021,3º,demais bancos e financeiras,banco/financeira,07237373,banco do nordeste do brasil s.a.,,13,23,37,73,8844660,8261233,3268835
2021,3º,demais bancos e financeiras,banco/financeira,58616418,banco fibra s.a.,,0,0,1,1,163670,4092,160152
2021,3º,demais bancos e financeiras,banco/financeira,62237425,banco fidis s/a,,0,7,4,11,4661,147,4533
2021,3º,demais bancos e financeiras,banco/financeira,53518684,banco hsbc s.a.,,0,0,2,2,3087,3074,58
2021,3º,demais bancos e financeiras,banco/financeira,04866275,banco inbursa s.a.,,5,5,5,15,14726,9,14717
2021,3º,demais bancos e financeiras,banco/financeira,78632767,banco ourinvest s.a.,,5,2,0,7,50060,47319,2771
2021,3º,demais bancos e financeiras,banco/financeira,61820817,banco paulista s.a.,,1,0,2,3,28238,7793,20692
2021,3º,demais bancos e financeiras,banco/financeira,00795423,banco semear s.a.,,2,2,0,4,270979,3638,267795
2021,3º,demais bancos e financeiras,banco/financeira,11970623,banco senff s.a.,,1,4,1,6,109166,40042,70102
2021,3º,demais bancos e financeiras,conglomerado, ,banco sicoob (conglomerado),,21,26,6,53,5047970,2390217,3240987
2021,3º,demais bancos e financeiras,banco/financeira,07679404,banco topázio s.a.,,4,5,2,11,43686,15291,30304
2021,3º,demais bancos e financeiras,banco/financeira,03215790,banco toyota do brasil s.a.,,1,4,3,8,155981,15264,141643
2021,3º,demais bancos e financeiras,banco/financeira,17351180,banco triangulo s.a.,,10,15,6,31,2025332,439855,1847196
2021,3º,demais bancos e financeiras,conglomerado, ,banestes (conglomerado),,17,35,21,73,1345235,1295217,477798
2021,3º,demais bancos e financeiras,conglomerado, ,banrisul (conglomerado),37.68,190,550,115,855,5041288,3714546,3937433
2021,3º,demais bancos e financeiras,conglomerado, ,barigui (conglomerado),,19,32,21,72,172348,144592,45355
